id,claim,label,source
1,Early diagnosis of dementia allows better treatment planning.,True,PubMed
2,Dementia risk increases with age.,True,WHO
3,Dementia risk increases with age.,True,WHO
4,Social interaction reduces the likelihood of dementia-related decline.,True,Alzheimer’s Association
5,Managing diabetes lowers the risk of developing dementia.,True,PubMed
6,Managing diabetes lowers the risk of developing dementia.,True,PubMed
7,Eating a balanced diet and managing blood pressure can reduce dementia risk.,True,WHO
8,Early diagnosis of dementia allows better treatment planning.,True,NIH
9,Listening to music can improve the mood and behavior of people with dementia.,True,CDC
10,Eating a balanced diet and managing blood pressure can reduce dementia risk.,True,WHO
11,Listening to music can improve the mood and behavior of people with dementia.,True,CDC
12,Cognitive training and memory exercises can help slow dementia progression.,True,CDC
13,Early diagnosis of dementia allows better treatment planning.,True,PubMed
14,Managing diabetes lowers the risk of developing dementia.,True,PubMed
15,Early diagnosis of dementia allows better treatment planning.,True,NIH
16,Dementia risk increases with age.,True,CDC
17,"Alzheimer's disease currently has no cure, but treatments exist to slow progression.",True,CDC
18,Social interaction reduces the likelihood of dementia-related decline.,True,NIH
19,Sleep quality is linked to brain health and dementia risk.,True,NIH
20,"Alzheimer's disease currently has no cure, but treatments exist to slow progression.",True,Alzheimer’s Association
21,Dementia risk increases with age.,True,NIH
22,Early diagnosis of dementia allows better treatment planning.,True,WHO
23,Listening to music can improve the mood and behavior of people with dementia.,True,PubMed
24,Early diagnosis of dementia allows better treatment planning.,True,CDC
25,Cognitive training and memory exercises can help slow dementia progression.,True,CDC
26,Listening to music can improve the mood and behavior of people with dementia.,True,NIH
27,Social interaction reduces the likelihood of dementia-related decline.,True,WHO
28,Sleep quality is linked to brain health and dementia risk.,True,NIH
29,Dementia risk increases with age.,True,WHO
30,Dementia risk increases with age.,True,CDC
31,"Alzheimer's disease currently has no cure, but treatments exist to slow progression.",True,Alzheimer’s Association
32,Regular physical activity helps reduce the risk of dementia.,True,CDC
33,Sleep quality is linked to brain health and dementia risk.,True,PubMed
34,Social interaction reduces the likelihood of dementia-related decline.,True,NIH
35,Listening to music can improve the mood and behavior of people with dementia.,True,NIH
36,Regular physical activity helps reduce the risk of dementia.,True,CDC
37,Managing diabetes lowers the risk of developing dementia.,True,NIH
38,Dementia risk increases with age.,True,Alzheimer’s Association
39,Cognitive training and memory exercises can help slow dementia progression.,True,Alzheimer’s Association
40,Eating a balanced diet and managing blood pressure can reduce dementia risk.,True,PubMed
41,Dementia risk increases with age.,True,PubMed
42,"Alzheimer's disease currently has no cure, but treatments exist to slow progression.",True,WHO
43,Sleep quality is linked to brain health and dementia risk.,True,PubMed
